school,year,test takers,exam,mean score,median score
Tallinna Kristiine G<fc>mnaasium,2015/16,15,Laia matemaatika riigieksam,76.4,78
Tallinna Kunstig<fc>mnaasium,2015/16,21,Eesti keele riigieksam,58.5,63
Tallinna Kunstig<fc>mnaasium,2015/16,11,Kitsa matemaatika riigieksam,17,17
Tallinna Kunstig<fc>mnaasium,2015/16,10,Laia matemaatika riigieksam,20.6,16
Tallinna Kuristiku G<fc>mnaasium,2015/16,34,Eesti keele riigieksam,57.4,57
Tallinna Kuristiku G<fc>mnaasium,2015/16,15,Kitsa matemaatika riigieksam,40.5,37
Tallinna Kuristiku G<fc>mnaasium,2015/16,19,Laia matemaatika riigieksam,64.8,72
Tallinna Laagna G<fc>mnaasium,2015/16,32,Eesti keele riigieksam,46.4,43.5
Tallinna Laagna G<fc>mnaasium,2015/16,17,Kitsa matemaatika riigieksam,35.9,38
Tallinna Laagna G<fc>mnaasium,2015/16,15,Laia matemaatika riigieksam,39.1,30
Tallinna Lillek<fc>la G<fc>mnaasium,2015/16,82,Eesti keele riigieksam,65.5,65
Tallinna Lillek<fc>la G<fc>mnaasium,2015/16,28,Kitsa matemaatika riigieksam,37.9,35.5
Tallinna Lillek<fc>la G<fc>mnaasium,2015/16,53,Laia matemaatika riigieksam,49.7,54
Tallinna Linnam<e4>e Vene L<fc>tseum,2015/16,48,Eesti keel teise keelena riigieksam,83.8,86
Tallinna Linnam<e4>e Vene L<fc>tseum,2015/16,17,Kitsa matemaatika riigieksam,67.9,79
Tallinna Linnam<e4>e Vene L<fc>tseum,2015/16,33,Laia matemaatika riigieksam,72.7,71
Tallinna L<e4><e4>nemere G<fc>mnaasium,2015/16,33,Eesti keel teise keelena riigieksam,83.5,90
Tallinna L<e4><e4>nemere G<fc>mnaasium,2015/16,20,Kitsa matemaatika riigieksam,63.2,62
Tallinna L<e4><e4>nemere G<fc>mnaasium,2015/16,14,Laia matemaatika riigieksam,79.6,83.5
Tallinna Mustam<e4>e G<fc>mnaasium,2015/16,46,Eesti keele riigieksam,72.5,72
Tallinna Mustam<e4>e G<fc>mnaasium,2015/16,16,Kitsa matemaatika riigieksam,32.4,31
Tallinna Mustam<e4>e G<fc>mnaasium,2015/16,30,Laia matemaatika riigieksam,55.5,54.5
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2015/16,23,Eesti keel teise keelena riigieksam,87,90
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2015/16,20,Kitsa matemaatika riigieksam,55.2,57.5
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2015/16,12,Laia matemaatika riigieksam,57.8,50
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2015/16,37,Eesti keel teise keelena riigieksam,67.2,70
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2015/16,8,Kitsa matemaatika riigieksam,23.5,15
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2015/16,29,Laia matemaatika riigieksam,40.2,36
Tallinna Mustj<f5>e G<fc>mnaasium,2015/16,12,Eesti keel teise keelena riigieksam,60.7,59.5
Tallinna Mustj<f5>e G<fc>mnaasium,2015/16,7,Kitsa matemaatika riigieksam,41.3,51
Tallinna Mustj<f5>e G<fc>mnaasium,2015/16,5,Laia matemaatika riigieksam,66,75
Tallinna N<f5>mme G<fc>mnaasium,2015/16,74,Eesti keele riigieksam,60.8,60
Tallinna N<f5>mme G<fc>mnaasium,2015/16,26,Kitsa matemaatika riigieksam,41.5,37.5
Tallinna N<f5>mme G<fc>mnaasium,2015/16,48,Laia matemaatika riigieksam,55.8,53.5
Tallinna Pae G<fc>mnaasium,2015/16,25,Eesti keel teise keelena riigieksam,76.1,77
Tallinna Pae G<fc>mnaasium,2015/16,20,Kitsa matemaatika riigieksam,50.6,41
Tallinna Pae G<fc>mnaasium,2015/16,7,Laia matemaatika riigieksam,80.4,78
Tallinna Prantsuse L<fc>tseum,2015/16,51,Eesti keele riigieksam,79.7,82
Tallinna Prantsuse L<fc>tseum,2015/16,15,Kitsa matemaatika riigieksam,90.3,91
Tallinna Prantsuse L<fc>tseum,2015/16,36,Laia matemaatika riigieksam,85.3,88
Tallinna P<e4><e4>sk<fc>la G<fc>mnaasium,2015/16,32,Eesti keele riigieksam,49.6,47
Tallinna P<e4><e4>sk<fc>la G<fc>mnaasium,2015/16,20,Kitsa matemaatika riigieksam,22.1,17
Tallinna P<e4><e4>sk<fc>la G<fc>mnaasium,2015/16,12,Laia matemaatika riigieksam,22.2,18
Tallinna Reaalkool,2015/16,105,Eesti keele riigieksam,79,80
Tallinna Reaalkool,2015/16,106,Laia matemaatika riigieksam,88.1,90
Tallinna Saksa G<fc>mnaasium,2015/16,60,Eesti keele riigieksam,69.9,72
Tallinna Saksa G<fc>mnaasium,2015/16,15,Kitsa matemaatika riigieksam,34.2,22
Tallinna Saksa G<fc>mnaasium,2015/16,22,Laia matemaatika riigieksam,33.4,29.5
Tallinna Tehnikag<fc>mnaasium,2015/16,56,Eesti keele riigieksam,58,56.5
Tallinna Tehnikag<fc>mnaasium,2015/16,56,Laia matemaatika riigieksam,38.4,35.5
Tallinna T<f5>nism<e4>e Reaalkool,2015/16,43,Eesti keel teise keelena riigieksam,82,84
Tallinna T<f5>nism<e4>e Reaalkool,2015/16,20,Kitsa matemaatika riigieksam,50.6,49.5
Tallinna T<f5>nism<e4>e Reaalkool,2015/16,28,Laia matemaatika riigieksam,72.8,79.5
Tallinna <d5>ism<e4>e G<fc>mnaasium,2015/16,40,Eesti keele riigieksam,63.1,63
Tallinna <d5>ism<e4>e G<fc>mnaasium,2015/16,9,Kitsa matemaatika riigieksam,45.4,46
Tallinna <d5>ism<e4>e G<fc>mnaasium,2015/16,31,Laia matemaatika riigieksam,44.3,40
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2015/16,46,Eesti keel teise keelena riigieksam,79.9,84
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2015/16,14,Kitsa matemaatika riigieksam,56,54
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2015/16,38,Laia matemaatika riigieksam,58.3,52.5
Tallinna <dc>hisg<fc>mnaasium,2015/16,83,Eesti keele riigieksam,69.8,70
Tallinna <dc>hisg<fc>mnaasium,2015/16,41,Kitsa matemaatika riigieksam,58.6,62
Tallinna <dc>hisg<fc>mnaasium,2015/16,42,Laia matemaatika riigieksam,65.2,66
Vanalinna Hariduskolleegium,2015/16,91,Eesti keele riigieksam,70.7,72
Vanalinna Hariduskolleegium,2015/16,26,Kitsa matemaatika riigieksam,39.5,38
Vanalinna Hariduskolleegium,2015/16,66,Laia matemaatika riigieksam,55.7,57.5
Ehte Humanitaarg<fc>mnaasium,2016/17,26,Eesti keel teise keelena riigieksam,76.3,82.5
Ehte Humanitaarg<fc>mnaasium,2016/17,10,Kitsa matemaatika riigieksam,49.4,39.5
Ehte Humanitaarg<fc>mnaasium,2016/17,18,Laia matemaatika riigieksam,58.1,60
Gustav Adolfi G<fc>mnaasium,2016/17,125,Eesti keele riigieksam,77.9,78
Gustav Adolfi G<fc>mnaasium,2016/17,21,Kitsa matemaatika riigieksam,73.1,75
Gustav Adolfi G<fc>mnaasium,2016/17,104,Laia matemaatika riigieksam,65.6,70.5
Haabersti Vene G<fc>mnaasium,2016/17,36,Eesti keel teise keelena riigieksam,54.5,54
Haabersti Vene G<fc>mnaasium,2016/17,7,Kitsa matemaatika riigieksam,28,19
Haabersti Vene G<fc>mnaasium,2016/17,29,Laia matemaatika riigieksam,15.2,7
Jakob Westholmi G<fc>mnaasium,2016/17,61,Eesti keele riigieksam,69.9,71
Jakob Westholmi G<fc>mnaasium,2016/17,41,Kitsa matemaatika riigieksam,64.9,66
Jakob Westholmi G<fc>mnaasium,2016/17,20,Laia matemaatika riigieksam,66.3,73
Kadrioru Saksa G<fc>mnaasium,2016/17,52,Eesti keele riigieksam,69.1,72
Kadrioru Saksa G<fc>mnaasium,2016/17,5,Kitsa matemaatika riigieksam,65.8,67
Kadrioru Saksa G<fc>mnaasium,2016/17,47,Laia matemaatika riigieksam,58.6,58
Lasnam<e4>e G<fc>mnaasium,2016/17,34,Eesti keel teise keelena riigieksam,75.2,74
Lasnam<e4>e G<fc>mnaasium,2016/17,23,Kitsa matemaatika riigieksam,38.1,30
Lasnam<e4>e G<fc>mnaasium,2016/17,11,Laia matemaatika riigieksam,57.8,58
Lasnam<e4>e Vene G<fc>mnaasium,2016/17,39,Eesti keel teise keelena riigieksam,62.3,63
Lasnam<e4>e Vene G<fc>mnaasium,2016/17,33,Kitsa matemaatika riigieksam,38.8,33
Lasnam<e4>e Vene G<fc>mnaasium,2016/17,6,Laia matemaatika riigieksam,51.7,48
Pelgulinna G<fc>mnaasium,2016/17,47,Eesti keele riigieksam,52.5,51
Pelgulinna G<fc>mnaasium,2016/17,15,Kitsa matemaatika riigieksam,16.1,17
Pelgulinna G<fc>mnaasium,2016/17,31,Laia matemaatika riigieksam,21.2,11
Pirita Majandusg<fc>mnaasium,2016/17,39,Eesti keele riigieksam,56.6,58
Pirita Majandusg<fc>mnaasium,2016/17,8,Kitsa matemaatika riigieksam,39.6,33
Pirita Majandusg<fc>mnaasium,2016/17,31,Laia matemaatika riigieksam,25.7,19
Tallinna 21. Kool,2016/17,98,Eesti keele riigieksam,76.2,76.5
Tallinna 21. Kool,2016/17,47,Kitsa matemaatika riigieksam,62,60
Tallinna 21. Kool,2016/17,51,Laia matemaatika riigieksam,71.5,74
Tallinna 32. Keskkool,2016/17,114,Eesti keele riigieksam,65.5,67
Tallinna 32. Keskkool,2016/17,42,Kitsa matemaatika riigieksam,37.5,34
Tallinna 32. Keskkool,2016/17,71,Laia matemaatika riigieksam,43.9,44
Tallinna 53. Keskkool,2016/17,35,Eesti keel teise keelena riigieksam,71.3,74
Tallinna 53. Keskkool,2016/17,17,Kitsa matemaatika riigieksam,21.8,18
Tallinna 53. Keskkool,2016/17,18,Laia matemaatika riigieksam,47.2,44.5
Tallinna Arte G<fc>mnaasium,2016/17,47,Eesti keele riigieksam,56.2,61
Tallinna Arte G<fc>mnaasium,2016/17,26,Kitsa matemaatika riigieksam,31.2,27
Tallinna Arte G<fc>mnaasium,2016/17,24,Laia matemaatika riigieksam,46.2,53
Tallinna Humanitaarg<fc>mnaasium,2016/17,44,Eesti keel teise keelena riigieksam,92.4,94
Tallinna Humanitaarg<fc>mnaasium,2016/17,20,Kitsa matemaatika riigieksam,55.4,53.5
Tallinna Humanitaarg<fc>mnaasium,2016/17,25,Laia matemaatika riigieksam,69.4,68
Tallinna Juudi Kool,2016/17,15,Eesti keel teise keelena riigieksam,79.5,88
Tallinna Juudi Kool,2016/17,9,Kitsa matemaatika riigieksam,43.4,46
Tallinna Juudi Kool,2016/17,6,Laia matemaatika riigieksam,76.3,78.5
Tallinna J<e4>rveotsa G<fc>mnaasium,2016/17,26,Eesti keele riigieksam,56.3,51
Tallinna J<e4>rveotsa G<fc>mnaasium,2016/17,17,Kitsa matemaatika riigieksam,34.5,24
Tallinna J<e4>rveotsa G<fc>mnaasium,2016/17,9,Laia matemaatika riigieksam,33,40
Tallinna Kesklinna Vene G<fc>mnaasium,2016/17,45,Eesti keel teise keelena riigieksam,72.1,77
Tallinna Kesklinna Vene G<fc>mnaasium,2016/17,38,Kitsa matemaatika riigieksam,56,62
Tallinna Kesklinna Vene G<fc>mnaasium,2016/17,9,Laia matemaatika riigieksam,87.9,91
Tallinna Kristiine G<fc>mnaasium,2016/17,34,Eesti keele riigieksam,56.7,60
Tallinna Kristiine G<fc>mnaasium,2016/17,15,Kitsa matemaatika riigieksam,41.3,44
Tallinna Kristiine G<fc>mnaasium,2016/17,19,Laia matemaatika riigieksam,40,41
Tallinna Kunstig<fc>mnaasium,2016/17,20,Eesti keele riigieksam,45,41.5
Tallinna Kunstig<fc>mnaasium,2016/17,10,Kitsa matemaatika riigieksam,31.2,22.5
Tallinna Kunstig<fc>mnaasium,2016/17,10,Laia matemaatika riigieksam,10.1,5
Tallinna Kuristiku G<fc>mnaasium,2016/17,28,Eesti keele riigieksam,58.2,56.5
Tallinna Kuristiku G<fc>mnaasium,2016/17,19,Kitsa matemaatika riigieksam,42.8,41
Tallinna Kuristiku G<fc>mnaasium,2016/17,9,Laia matemaatika riigieksam,72.8,78
Tallinna Laagna G<fc>mnaasium,2016/17,42,Eesti keele riigieksam,58.3,56.5
Tallinna Laagna G<fc>mnaasium,2016/17,26,Kitsa matemaatika riigieksam,49.6,47.5
Tallinna Laagna G<fc>mnaasium,2016/17,16,Laia matemaatika riigieksam,59.8,53.5
Tallinna Lillek<fc>la G<fc>mnaasium,2016/17,62,Eesti keele riigieksam,64.5,65
Tallinna Lillek<fc>la G<fc>mnaasium,2016/17,15,Kitsa matemaatika riigieksam,42.9,41
Tallinna Lillek<fc>la G<fc>mnaasium,2016/17,47,Laia matemaatika riigieksam,50,49
Tallinna Linnam<e4>e Vene L<fc>tseum,2016/17,39,Eesti keel teise keelena riigieksam,85.7,86
Tallinna Linnam<e4>e Vene L<fc>tseum,2016/17,19,Kitsa matemaatika riigieksam,65.2,62
Tallinna Linnam<e4>e Vene L<fc>tseum,2016/17,21,Laia matemaatika riigieksam,70.7,74
Tallinna L<e4><e4>nemere G<fc>mnaasium,2016/17,36,Eesti keel teise keelena riigieksam,86,91.5
Tallinna L<e4><e4>nemere G<fc>mnaasium,2016/17,21,Kitsa matemaatika riigieksam,44,44
Tallinna L<e4><e4>nemere G<fc>mnaasium,2016/17,15,Laia matemaatika riigieksam,78.7,80
Tallinna Mustam<e4>e G<fc>mnaasium,2016/17,58,Eesti keele riigieksam,61.4,61.5
Tallinna Mustam<e4>e G<fc>mnaasium,2016/17,12,Kitsa matemaatika riigieksam,43.1,38.5
Tallinna Mustam<e4>e G<fc>mnaasium,2016/17,46,Laia matemaatika riigieksam,36.6,35
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2016/17,38,Eesti keel teise keelena riigieksam,90.8,92.5
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2016/17,22,Kitsa matemaatika riigieksam,42.4,38
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2016/17,23,Laia matemaatika riigieksam,60.8,69
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2016/17,20,Eesti keel teise keelena riigieksam,66.6,69.5
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2016/17,10,Kitsa matemaatika riigieksam,41.9,42.5
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2016/17,11,Laia matemaatika riigieksam,34.6,35
Tallinna Mustj<f5>e G<fc>mnaasium,2016/17,27,Eesti keel teise keelena riigieksam,62.8,65
Tallinna Mustj<f5>e G<fc>mnaasium,2016/17,23,Kitsa matemaatika riigieksam,27.6,23
Tallinna N<f5>mme G<fc>mnaasium,2016/17,67,Eesti keele riigieksam,62.6,63
Tallinna N<f5>mme G<fc>mnaasium,2016/17,17,Kitsa matemaatika riigieksam,43,40
Tallinna N<f5>mme G<fc>mnaasium,2016/17,50,Laia matemaatika riigieksam,60.5,61
Tallinna Pae G<fc>mnaasium,2016/17,31,Eesti keel teise keelena riigieksam,77.9,84
Tallinna Pae G<fc>mnaasium,2016/17,25,Kitsa matemaatika riigieksam,51.1,51
Tallinna Pae G<fc>mnaasium,2016/17,7,Laia matemaatika riigieksam,54.7,58
Tallinna Prantsuse L<fc>tseum,2016/17,50,Eesti keele riigieksam,81,84
Tallinna Prantsuse L<fc>tseum,2016/17,19,Kitsa matemaatika riigieksam,80.3,83
Tallinna Prantsuse L<fc>tseum,2016/17,32,Laia matemaatika riigieksam,83.9,87
Tallinna Reaalkool,2016/17,106,Eesti keele riigieksam,83.7,85
Tallinna Reaalkool,2016/17,106,Laia matemaatika riigieksam,89.3,91
Tallinna Saksa G<fc>mnaasium,2016/17,68,Eesti keele riigieksam,65.6,66.5
Tallinna Saksa G<fc>mnaasium,2016/17,14,Kitsa matemaatika riigieksam,30.8,26
Tallinna Saksa G<fc>mnaasium,2016/17,31,Laia matemaatika riigieksam,27.3,18
Tallinna Tehnikag<fc>mnaasium,2016/17,49,Eesti keele riigieksam,59.7,60
Tallinna Tehnikag<fc>mnaasium,2016/17,47,Laia matemaatika riigieksam,28.7,26
Tallinna T<f5>nism<e4>e Reaalkool,2016/17,52,Eesti keel teise keelena riigieksam,85.6,88.5
Tallinna T<f5>nism<e4>e Reaalkool,2016/17,25,Kitsa matemaatika riigieksam,63,66
Tallinna T<f5>nism<e4>e Reaalkool,2016/17,27,Laia matemaatika riigieksam,62.1,66
Tallinna <d5>ism<e4>e G<fc>mnaasium,2016/17,37,Eesti keele riigieksam,62.1,61
Tallinna <d5>ism<e4>e G<fc>mnaasium,2016/17,15,Kitsa matemaatika riigieksam,31.9,34
Tallinna <d5>ism<e4>e G<fc>mnaasium,2016/17,23,Laia matemaatika riigieksam,54.4,54
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2016/17,51,Eesti keel teise keelena riigieksam,84.4,88
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2016/17,20,Kitsa matemaatika riigieksam,44,41.5
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2016/17,31,Laia matemaatika riigieksam,42.3,39
Tallinna <dc>hisg<fc>mnaasium,2016/17,71,Eesti keele riigieksam,62.5,63
Tallinna <dc>hisg<fc>mnaasium,2016/17,36,Kitsa matemaatika riigieksam,31.4,28.5
Tallinna <dc>hisg<fc>mnaasium,2016/17,35,Laia matemaatika riigieksam,45.4,44
Vanalinna Hariduskolleegium,2016/17,96,Eesti keele riigieksam,70.1,70.5
Vanalinna Hariduskolleegium,2016/17,18,Kitsa matemaatika riigieksam,41.3,40.5
Vanalinna Hariduskolleegium,2016/17,79,Laia matemaatika riigieksam,52.2,54
